sbert_pca_0,sbert_pca_1,sbert_pca_2,sbert_pca_3,sbert_pca_4,sbert_pca_5,sbert_pca_6,sbert_pca_7,sbert_pca_8,sbert_pca_9
-0.1289767,0.14560252,-0.13372523,-0.15687574,-0.11988857,-0.003858,-0.0155796185,0.1198428,-0.11019857,-0.020503351
-0.21838354,0.14528298,-0.117551,-0.1694418,-0.10434318,-0.014848404,-0.005930014,0.07600778,-0.13947487,-0.057102695
-0.21176678,0.1634736,-0.1386822,-0.14525741,-0.07177298,-0.0019198954,0.032038946,-0.0014292039,-0.10738593,-0.03374626
-0.21000874,0.16244227,-0.14618659,-0.14631264,-0.084000744,-0.0027827919,0.02903096,0.014275454,-0.12086315,-0.026998896
-0.1807105,0.14954782,-0.115703985,-0.18680324,-0.07560693,0.015657634,0.065513,0.047509417,-0.11970028,-0.01710073
-0.12735164,0.121123016,-0.15989317,-0.19738902,-0.11108095,-0.021761581,0.05278472,0.20313382,-0.08965326,-0.06583651
-0.11120406,0.14889205,-0.1397029,-0.18797766,-0.08795604,0.013364971,0.07417918,0.13958271,-0.10594687,-0.021935761
-0.19845039,0.14816082,-0.12510535,-0.22363158,-0.08955383,-0.004816383,0.07240768,0.09301956,-0.1196893,-0.05109977
-0.12545356,0.15384585,-0.13420437,-0.20218547,-0.047361568,0.0153723955,0.06206984,0.09323943,-0.11613853,-0.061260186
-0.09136967,0.02820468,-0.0877341,-0.14217146,-0.14161716,-0.16598207,0.03908535,0.33898205,0.0750735,-0.0019269623
-0.109563105,0.06863856,-0.1226535,-0.27289748,-0.058525227,-0.082755014,0.10523365,0.17735608,-0.061132904,-0.068393454
-0.20642352,0.08542907,-0.109975964,-0.25407237,0.021285914,-0.011781447,0.040625714,0.024681669,0.015563436,-0.18296851
-0.187358,0.117378175,-0.052252598,-0.21712469,0.11997732,0.026493028,-0.047046073,-0.0871523,0.0508394,-0.13517156
-0.09707836,0.08932066,-0.0249806,-0.14967282,-0.023176966,0.038252622,-0.1298335,0.18039098,0.09884047,-0.10154353
-0.07159412,0.073314905,-0.031712648,-0.030115705,0.041567024,0.09484863,-0.046276852,0.20565008,0.18339178,-0.1290371
0.012849405,0.072921515,-0.05377517,-0.13517432,0.116418645,-0.0140136555,-0.008872673,0.1434839,0.25028753,-0.009030862
-0.07396512,0.1042434,-0.07320849,-0.23358054,0.19398504,-0.019155696,0.054885063,-0.006277818,0.18429726,-0.016413009
-0.095203385,0.095984876,-0.036002222,-0.2571791,0.20507607,-0.017710082,0.03016232,-0.01695763,0.1601815,-0.016334232
-0.08708264,0.10528773,-0.019447498,-0.22494663,0.19109167,0.008906707,0.011725862,-0.025765833,0.15806043,0.0048734024
-0.024461016,0.096664906,-0.057246387,-0.21112077,0.18618912,0.004872903,0.028310694,-0.007424794,0.17560491,0.005638607
-0.06646672,0.09940636,0.002161231,-0.23540549,0.22157767,0.03215857,-0.021464005,-0.028920364,0.12009502,-0.0010332391
-0.09902551,0.09449577,-0.008804606,-0.22403254,0.26208302,0.060808405,-0.0039026663,-0.076107085,0.06785072,-0.015134191
-0.12308086,0.09630692,0.01384791,-0.22285365,0.24021782,0.07056224,-0.008495115,-0.07918024,0.05936279,0.0031043626
-0.096674934,0.09932715,-0.034500886,-0.24379168,0.25147757,0.06545341,-0.018185198,-0.02223384,0.09316481,0.014084559
-0.010953084,0.076554894,-7.826835e-06,-0.21703868,0.20344394,0.06407116,0.013601948,-0.011165157,0.06442379,0.056956705
-0.2610478,-0.026448756,0.2941478,0.03372389,0.2246461,-0.010745563,0.019646399,-0.15175484,-0.13952045,-0.13700329
-0.18656556,-0.061541975,0.2449851,-0.14047833,0.0012409557,-0.038973995,0.028241951,-0.13507892,-0.110321015,0.18934555
-0.083767064,0.075393796,0.040023506,-0.20912834,0.20290639,0.0929973,0.054094985,-0.055024717,0.042267524,0.045275304
-0.03702654,0.056675732,0.035199113,-0.18626244,0.15922283,0.07557154,0.07267545,0.012197334,0.15302548,0.07876451
-0.05428715,0.09182674,0.0054173404,-0.21008994,0.15755968,0.07027292,0.031961717,0.006337881,0.10091577,0.012138985
-0.13629627,0.048482,0.13580397,-0.1927561,0.17307751,0.11524853,0.035446946,-0.14107837,-0.0075683147,0.04364145
